ingresos,egresos,activos,pasivos,vol_trans,a_econ,edad,anos_afil,genero,estado_civil,ocupacion,nivel_estudio,tipo_vivienda,estrato,num_hijos,personas_cargo,special_test_1
3913300,1296000,23000000,1900000,1173990,A2,32,1.9,F,SOLTERO,EMPLEADO,UNIVERSITARIO,ARRENDADA,E3,0,0,1.078741514
2300000,1000000,3000000,700000,690000,A2,32,1,F,SOLTERO,EMPLEADO,ESPECIALIZACION,FAMILIAR,E3,1,1,1.094510734
2200000,800000,24000000,4000000,660000,A2,32,5.6,F,SOLTERO,EMPLEADO,UNIVERSITARIO,FAMILIAR,E4,0,0,3.056211983
1200000,500000,27990000,500000,360000,A4,32,0.5,F,SOLTERO,INDEPENDIENTE,UNIVERSITARIO,FAMILIAR,E4,0,0,1.08103028
5475477,3486000,171807000,39000000,1642643,A2,35,10.3,F,SOLTERO,EMPLEADO,ESPECIALIZACION,ARRENDADA,E4,0,0,2.054041049
1670000,450000,1000000,350000,501000,A2,31,4.9,F,SOLTERO,EMPLEADO,UNIVERSITARIO,FAMILIAR,E4,0,0,3.048801622
4000000,1700000,1300000,0,1200000,A4,31,0.5,F,SOLTERO,INDEPENDIENTE,UNIVERSITARIO,FAMILIAR,E1,0,0,0.06133229755
2784000,1600000,6500000,0,835200,A2,31,1.4,F,CASADO,EMPLEADO,ESPECIALIZACION,FAMILIAR,E4,0,0,3.016488917
1500000,500000,2000000,0,450000,A2,31,0.5,F,CASADO,EMPLEADO,UNIVERSITARIO,FAMILIAR,E3,2,2,1.045847677
2800000,700000,2500000,0,840000,A2,31,3.9,F,SOLTERO,EMPLEADO,ESPECIALIZACION,FAMILIAR,E4,0,0,0.007207220025
2450452,900000,2450000,0,735135,A2,31,0.3,F,CASADO,EMPLEADO,UNIVERSITARIO,FAMILIAR,E4,0,0,0.05994785679
2912600,2880000,400000,50000000,873780,A2,30,2.7,F,CASADO,EMPLEADO,ESPECIALIZACION,ARRENDADA,E4,2,1,0.02162105501
1661472,500000,12000,0,498441,A2,30,3.2,F,SOLTERO,EMPLEADO,UNIVERSITARIO,FAMILIAR,E3,0,0,3.079683948
7748647,3180000,1857400000,13000000,2324594,A6,69,21.8,M,CASADO,PENSIONADO,ESPECIALIZACION,PROPIA,E6,1,0,2.09021631
6500000,1370000,5000000,0,1950000,A4,60,14.9,M,CASADO,INDEPENDIENTE,UNIVERSITARIO,PROPIA,E3,1,2,3.061296529
12000000,7050000,875000000,45000000,3600000,A2,56,19.9,M,CASADO,EMPLEADO,UNIVERSITARIO,PROPIA,E6,0,0,2.04256597
5280770,3000000,309000000,0,1584231,A6,86,21.6,M,CASADO,PENSIONADO,UNIVERSITARIO,PROPIA,E6,2,0,1.051038136
3300000,2700000,3000000,3200000,990000,A6,87,40.7,M,CASADO,PENSIONADO,UNIVERSITARIO,PROPIA,E4,3,2,2.084632753
2600000,1400000,5000000,1000000,780000,A2,35,1.5,M,SOLTERO,EMPLEADO,UNIVERSITARIO,ARRENDADA,E4,0,0,0.06402051063
5897000,1900000,33000000,23617830,1769100,A2,31,2,M,UNION_LIBRE,EMPLEADO,UNIVERSITARIO,FAMILIAR,E4,1,1,3.006499361
